path	status	notes
legacy/chapter4/00_check_clip_effect_on_chunk.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/00_check_primer_residue.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/00_manifest_builder.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/00_trim_primers.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/00_validate_manifest.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/01_QC.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/01_preprocess_sequences_se.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/01b_build_global_counts_and_filter.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02_mapping.slurm	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02a_calc_features_chunk.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02a_submit_features.sh	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02b1_agg_kmers_chunk.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02b1_submit_agg_kmers.sh	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02b2_select_kmers_from_agg.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02b_select_kmers.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02c_expand_kmers.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02d_make_kmer_union_vocab.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02e_build_kmer_regions_chunk.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/02e_submit_kmer_regions.sh	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/03_coverage_analysis.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/03_submit_dataweaver.sh	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/03a_build_external_pseudopairs_training_chunks.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/03a_prepare_pairs_and_counts_db.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/03b_dataweaver_chunk.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/03k_check_seqid_overlap.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/03k_kmer_chunk_sums.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/03k_reduce_kmer_only.py	historical_variant	Named variant of a nearby canonical step; keep for provenance and compare against the canonical command before reuse.
legacy/chapter4/03k_submit_kmer_only.sh	historical_variant	Named variant of a nearby canonical step; keep for provenance and compare against the canonical command before reuse.
legacy/chapter4/04_abundance_quantification.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/04_submit_stats_map.sh	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
legacy/chapter4/04a_merge_pair_stats.py	canonical_or_support	Part of the recommended public Chapter 4 order; shell/Slurm wrappers are support files for the adjacent numbered Python steps.
